customer_id,full_name,nationality,region,customer_segment,risk_level,kyc_level,status,created_at
CUST000001,Janet Akena,Ugandan,Arua,retail,low,Tier1,dormant,2025-01-01
CUST000002,Mary Ntambi,Ugandan,Gomba,retail,medium,Tier2,dormant,2023-10-08
CUST000003,Isabella Lewis,Tanzanian,Kasese,retail,low,Tier1,dormant,2024-07-16
CUST000004,Victor Opio,Ugandan,Tororo,retail,medium,Tier2,dormant,2024-11-29
CUST000005,Gloria Bagiire,Ugandan,Fort Portal,retail,high,Tier2,active,2024-11-03
CUST000006,Denis Nanyonjo,Ugandan,Wakiso,retail,high,Tier1,active,2024-01-27
CUST000007,Ahmed Hall,Sudanese,Mukono,retail,medium,Tier3,dormant,2025-03-09
CUST000008,Oliver Amanya,Ugandan,Iganga,retail,high,Tier1,dormant,2025-09-03
CUST000009,Akello Abigaba,Ugandan,Lyantonde,retail,medium,Tier1,active,2025-03-21
CUST000010,Nancy Kahinda,Ugandan,Mukono,retail,medium,Tier1,active,2023-06-08
CUST000011,Joy Kisembo,Ugandan,Hoima,retail,high,Tier1,active,2023-06-21
CUST000012,Noah Johnson,Kenyan,Kibale,retail,high,Tier3,active,2023-07-22
CUST000013,Gift Bamwine,Ugandan,Nebbi,retail,medium,Tier2,restricted,2025-01-24
CUST000014,Lawrence Nsereko,Ugandan,Kampala,retail,medium,Tier3,restricted,2024-10-07
CUST000015,Ian Nakayiza,Ugandan,Kalungu,retail,low,Tier3,active,2026-02-21
CUST000016,Grace Nambooze,Ugandan,Nebbi,retail,high,Tier1,active,2023-05-29
CUST000017,Daniel Allen,Rwandan,Wakiso,retail,high,Tier3,active,2024-11-17
CUST000018,Grace Allen,Kenyan,Kyegegwa,retail,medium,Tier2,dormant,2023-09-25
CUST000019,Gift Kiconco,Ugandan,Kampala,retail,low,Tier1,active,2025-01-02
CUST000020,Saul Barasa,Ugandan,Soroti,retail,high,Tier1,active,2023-05-19
CUST000021,Mugisha Achola,Ugandan,Kyenjojo,retail,low,Tier3,active,2025-07-08
CUST000022,Deborah Nakku,Ugandan,Kampala,retail,low,Tier3,dormant,2023-04-29
