card_id,account_id,customer_id,card_type,network,masked_pan,issued_at,expiry_month,expiry_year,card_status
CARD000001,ACC000001,CUST000001,debit,Visa,4000-00XX-XX8742,2025-01-01,08,2030,blocked
CARD000002,ACC000002,CUST000002,debit,Mastercard,4000-00XX-XX2143,2023-10-08,03,2031,blocked
CARD000003,ACC000004,CUST000004,debit,Mastercard,4000-00XX-XX6681,2024-11-29,12,2030,blocked
CARD000004,ACC000005,CUST000005,virtual,Mastercard,4000-00XX-XX9669,2024-11-03,11,2029,active
CARD000005,ACC000006,CUST000006,debit,Visa,4000-00XX-XX4001,2024-01-27,09,2029,active
CARD000006,ACC000007,CUST000007,debit,Visa,4000-00XX-XX0977,2025-03-09,09,2029,blocked
CARD000007,ACC000008,CUST000008,virtual,Verve,4000-00XX-XX1631,2025-09-03,09,2031,blocked
CARD000008,ACC000009,CUST000009,virtual,Verve,4000-00XX-XX7621,2025-03-21,04,2029,active
CARD000009,ACC000012,CUST000012,virtual,Mastercard,4000-00XX-XX0628,2023-07-22,08,2028,active
CARD000010,ACC000013,CUST000013,virtual,Verve,4000-00XX-XX4991,2025-01-24,03,2031,blocked
CARD000011,ACC000014,CUST000014,virtual,Visa,4000-00XX-XX2709,2024-10-07,10,2031,blocked
CARD000012,ACC000016,CUST000016,debit,Mastercard,4000-00XX-XX7219,2023-05-29,09,2028,active
CARD000013,ACC000017,CUST000017,virtual,Visa,4000-00XX-XX7098,2024-11-17,09,2029,active
CARD000014,ACC000018,CUST000018,virtual,Visa,4000-00XX-XX9311,2023-09-25,03,2028,blocked
CARD000015,ACC000019,CUST000019,debit,Verve,4000-00XX-XX8441,2025-01-02,09,2031,active
CARD000016,ACC000020,CUST000020,debit,Visa,4000-00XX-XX4178,2023-05-19,11,2031,active
CARD000017,ACC000021,CUST000021,virtual,Verve,4000-00XX-XX9069,2025-07-08,02,2029,active
CARD000018,ACC000025,CUST000025,debit,Visa,4000-00XX-XX4658,2024-03-13,09,2031,active
CARD000019,ACC000026,CUST000026,debit,Verve,4000-00XX-XX9349,2025-12-13,04,2029,active
CARD000020,ACC000027,CUST000027,virtual,Verve,4000-00XX-XX8317,2025-07-08,05,2028,active
CARD000021,ACC000028,CUST000028,debit,Verve,4000-00XX-XX1341,2023-08-11,11,2030,active
CARD000022,ACC000029,CUST000029,virtual,Visa,4000-00XX-XX0156,2023-05-16,03,2028,active
CARD000023,ACC000031,CUST000031,debit,Verve,4000-00XX-XX4773,2025-08-12,11,2029,active
CARD000024,ACC000032,CUST000032,debit,Visa,4000-00XX-XX2640,2024-11-24,02,2031,blocked
CARD000025,ACC000035,CUST000035,debit,Mastercard,4000-00XX-XX0303,2024-04-24,02,2031,blocked
CARD000026,ACC000036,CUST000036,virtual,Verve,4000-00XX-XX3063,2025-06-27,05,2031,active
CARD000027,ACC000037,CUST000037,debit,Verve,4000-00XX-XX5583,2025-11-06,12,2030,active
CARD000028,ACC000038,CUST000038,debit,Visa,4000-00XX-XX0553,2024-03-12,10,2028,active
CARD000029,ACC000039,CUST000039,virtual,Mastercard,4000-00XX-XX0798,2024-08-26,11,2031,active
CARD000030,ACC000040,CUST000040,debit,Verve,4000-00XX-XX0644,2025-02-23,07,2031,active
CARD000031,ACC000041,CUST000041,debit,Verve,4000-00XX-XX6819,2024-12-23,03,2030,blocked
CARD000032,ACC000042,CUST000042,debit,Mastercard,4000-00XX-XX8063,2025-04-23,10,2030,active
CARD000033,ACC000043,CUST000043,debit,Visa,4000-00XX-XX8665,2025-11-12,03,2031,blocked
CARD000034,ACC000044,CUST000044,debit,Mastercard,4000-00XX-XX5359,2024-07-26,02,2030,active
CARD000035,ACC000046,CUST000046,debit,Visa,4000-00XX-XX4972,2024-11-08,08,2030,blocked
CARD000036,ACC000047,CUST000047,virtual,Verve,4000-00XX-XX8717,2024-12-01,08,2029,blocked
CARD000037,ACC000048,CUST000048,virtual,Visa,4000-00XX-XX0769,2024-02-01,01,2031,blocked
CARD000038,ACC000049,CUST000049,virtual,Visa,4000-00XX-XX6987,2026-02-19,03,2028,blocked
CARD000039,ACC000050,CUST000050,virtual,Verve,4000-00XX-XX9651,2024-03-25,02,2031,blocked
CARD000040,ACC000051,CUST000051,debit,Visa,4000-00XX-XX3510,2026-03-23,05,2028,active
CARD000041,ACC000053,CUST000053,virtual,Visa,4000-00XX-XX9549,2024-05-21,11,2030,blocked
CARD000042,ACC000055,CUST000055,virtual,Verve,4000-00XX-XX3447,2024-03-04,06,2031,active
CARD000043,ACC000056,CUST000056,debit,Verve,4000-00XX-XX8460,2024-03-13,03,2030,active
CARD000044,ACC000058,CUST000058,debit,Verve,4000-00XX-XX3039,2025-04-07,01,2029,active
CARD000045,ACC000059,CUST000059,virtual,Mastercard,4000-00XX-XX5897,2023-09-19,06,2030,active
CARD000046,ACC000060,CUST000060,debit,Visa,4000-00XX-XX3716,2024-12-09,04,2030,active
CARD000047,ACC000062,CUST000062,debit,Mastercard,4000-00XX-XX3403,2025-07-29,04,2028,active
CARD000048,ACC000064,CUST000064,virtual,Verve,4000-00XX-XX0013,2025-10-06,09,2030,blocked
CARD000049,ACC000065,CUST000065,debit,Mastercard,4000-00XX-XX3141,2024-11-23,01,2030,active
CARD000050,ACC000066,CUST000066,virtual,Verve,4000-00XX-XX2517,2023-03-21,07,2029,blocked
CARD000051,ACC000067,CUST000067,virtual,Mastercard,4000-00XX-XX5817,2026-02-01,01,2030,active
CARD000052,ACC000068,CUST000068,virtual,Visa,4000-00XX-XX1119,2026-03-24,08,2029,active
CARD000053,ACC000069,CUST000069,virtual,Verve,4000-00XX-XX5345,2025-03-07,08,2029,blocked
CARD000054,ACC000071,CUST000071,debit,Verve,4000-00XX-XX4784,2026-03-11,12,2029,blocked
CARD000055,ACC000074,CUST000074,virtual,Mastercard,4000-00XX-XX3797,2024-05-06,11,2029,active
CARD000056,ACC000075,CUST000075,virtual,Visa,4000-00XX-XX9414,2023-08-06,02,2031,blocked
